[01/12/23 14:32:24] [INFO] received Windows console close event; shutting log-core down
[01/12/23 14:32:25] [INFO] received Windows console close event; shutting log-core down
[01/12/23 14:32:25] [INFO] received Windows console close event; shutting log-core down
[01/12/23 14:32:26] [INFO] received Windows console close event; shutting log-core down
[01/12/23 14:32:27] [INFO] received Windows console close event; shutting log-core down
[01/12/23 15:36:02] [INFO] received Windows console close event; shutting log-core down
[01/12/23 19:14:40] [INFO] received Windows console close event; shutting log-core down
[01/12/23 19:14:41] [INFO] received Windows console close event; shutting log-core down
[01/12/23 19:14:42] [INFO] received Windows console close event; shutting log-core down
[01/12/23 19:14:43] [INFO] received Windows console close event; shutting log-core down
[01/12/23 19:14:48] [INFO] received Windows console close event; shutting log-core down
[01/12/23 19:16:39] [INFO] received Windows console close event; shutting log-core down
[01/12/23 19:16:40] [INFO] received Windows console close event; shutting log-core down
[01/12/23 19:16:43] [INFO] received Windows console close event; shutting log-core down
[01/12/23 19:16:43] [INFO] received Windows console close event; shutting log-core down
[01/12/23 19:16:50] [INFO] received Windows console close event; shutting log-core down
[01/12/23 19:49:02] [INFO] received Windows console close event; shutting log-core down
[01/12/23 19:49:03] [INFO] received Windows console close event; shutting log-core down
[01/12/23 19:49:04] [INFO] received Windows console close event; shutting log-core down
[01/12/23 19:49:04] [INFO] received Windows console close event; shutting log-core down
[01/12/23 19:49:05] [INFO] received Windows console close event; shutting log-core down
[01/12/23 19:49:09] [INFO] received Windows console close event; shutting log-core down
[01/12/23 19:49:10] [INFO] received Windows console close event; shutting log-core down
[01/12/23 19:49:11] [INFO] received Windows console close event; shutting log-core down
[01/12/23 19:49:13] [INFO] received Windows console close event; shutting log-core down
[01/13/23 09:52:39] [INFO] received Windows console close event; shutting log-core down
